simID	famID	id1	id2	degree	error_type	phi_IBIS	phi_TRUFFLE	phi_IBDseq	phi_clusIBD
sim7801	def6	O	T	1	0	0.242404274746606	0.243818911358479	0.241205696952132	0.241590195133556
sim7801	def6	O	T	1	0.005	0.240949292448477	0.242923835496958	0.24097018974116	0.241555423292084
sim7801	def6	O	T	1	0.01	0.235880897001357	0.239630332600823	0.239687312093589	0.241583827047812
sim7801	def6	O	T	1	0.05	0.0253300645766369	0.00576589058015715	0.0300950917671861	0.237247994678377
sim7801	def6	O	T	1	0.1	0.000722603883204226	NA	0.0037121055794307	0.218986432663684
sim7801	def6	O	T	1	0.2	NA	NA	0.000998920348237138	0.194988367331824
sim7801	def6	O	U	6	0	0.00403297154458908	0.00200578849135641	0.0028317087570512	0.00195895311640948
sim7801	def6	O	U	6	0.005	0.00384634993424625	0.00200009052470794	0.00284561422773239	0.00195895311640948
sim7801	def6	O	U	6	0.01	0.00237050856150324	0.00110556187644778	0.00187980236637424	0.00195895311640948
sim7801	def6	O	U	6	0.05	NA	NA	NA	0.000877295947236968
sim7801	def6	O	U	6	0.1	NA	NA	NA	0.000868795988117273
sim7801	def6	O	U	6	0.2	NA	NA	NA	0.00191339144547069
sim7801	def6	T	U	7	0	0.00188008300860352	0.00197737683143701	0.00241317286851684	0.0019197681302806
sim7801	def6	T	U	7	0.005	0.00188008300860352	0.00197887081049728	0.00241395234340561	0.0019197681302806
sim7801	def6	T	U	7	0.01	0.0016928423524024	0.00197283409278282	0.00157886721105005	0.00192064367149732
sim7801	def6	T	U	7	0.05	NA	NA	0.000514414861082227	0.0019197681302806
sim7801	def6	T	U	7	0.1	NA	NA	0.00046389100818215	0.0019197681302806
sim7801	def6	T	U	7	0.2	NA	NA	NA	0.00199247296868553
sim7801	def7	D	F	1	0	0.217307160852704	0.224664614512709	0.219259522886727	0.225838788159233
sim7801	def7	D	F	1	0.005	0.161516101242062	0.221337114907028	0.215301715715954	0.22347022611347
